Ключевые слова,Дата и время,Источник,Код события,Категория задачи
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\TSpkg.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\tquery.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\TokenBrokerUI.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\TokenBroker.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\themeui.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\themecpl.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\t2embed.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SyncCenter.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\stobject.dll
	Идентификатор дескриптора:	0x70

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\srpapi.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SmartcardCredentialProvider.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\shlwapi.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\shell32.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\ShareHost.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SettingSyncPolicy.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SettingSync.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SettingMonitor.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SearchProtocolHost.exe
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\SearchIndexer.exe
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\schannel.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:42,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\rdpcore.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\oleaut32.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\ninput.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\ngccredprov.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\netlogon.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\msxml3.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\msvproc.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\mstscax.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\mstsc.exe
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\mssph.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\msisip.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\mshtmled.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\mshtml.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\msctf.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\MicrosoftAccountWAMExtension.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
@Аудит успеха,09.05.2018 19:01:41,Microsoft-Windows-Security-Auditing,4907,@Аудит изменения политики,"Изменились параметры @Аудита для объекта.

Предмет:
	Идентификатор безопасности:		СИСТЕМА
	Имя учетной записи:		DESKTOP-PMSI5TC$
	Домен учетной записи:		WORKGROUP
	Идентификатор входа:		0x3E7

Объект:
	Сервер объекта:	Security
	Тип объекта:	File
	Имя объекта:	C:\Windows\SysWOW64\Microsoft.Uev.Office2013CustomActions.dll
	Идентификатор дескриптора:	0x78

Сведения о процессе:
	Идентификатор процесса:	0x43cc
	Имя процесса:	C:\Windows\System32\poqexec.exe

Параметры @Аудита:
	Исходный дескриптор безопасности:	S:AI
	Новый дескриптор безопасности:		S:ARAI(AU;SAFA;DCLCRPCRSDWDWO;;;WD)"
